iter	Passed	Remaining
0	11	1105
1	20	999
2	28	935
3	37	896
4	45	867
5	54	847
6	62	829
7	70	814
8	78	798
9	87	784
10	95	771
11	103	760
12	111	749
13	120	738
14	128	728
15	136	717
16	144	707
17	152	696
18	161	686
19	169	676
20	176	665
21	185	656
22	192	646
23	200	636
24	208	626
25	216	617
26	224	607
27	232	598
28	240	588
29	248	579
30	256	570
31	264	561
32	272	552
33	279	543
34	287	534
35	295	525
36	303	517
37	311	508
38	319	499
39	327	490
40	335	482
41	342	472
42	349	463
43	356	453
44	363	444
45	370	435
46	377	425
47	384	416
48	391	407
49	398	398
50	405	389
51	412	381
52	420	372
53	427	363
54	434	355
55	441	346
56	448	338
57	455	329
58	462	321
59	469	312
60	476	304
61	483	296
62	490	288
63	498	280
64	505	272
65	512	264
66	519	256
67	527	248
68	534	240
69	541	232
70	548	224
71	555	216
72	562	208
73	569	200
74	576	192
75	583	184
76	590	176
77	597	168
78	604	160
79	611	152
80	618	145
81	625	137
82	633	129
83	640	121
84	647	114
85	654	106
86	661	98
87	668	91
88	675	83
89	682	75
90	689	68
91	696	60
92	703	52
93	710	45
94	717	37
95	724	30
96	731	22
97	738	15
98	745	7
99	752	0
